"","0%,C","10%,C","20%,C","30%,C","40%,C","50%,C","60%,C","70%,C","80%,C","90%,C","100%,C","70%,U","80%,U","90%,U","100%,U"
"0%,C",0.207251193122141,0.0499762114636706,0.0625878348386049,0.0773525553825402,0.0944139802998083,0.118417188711134,0.159419280034624,0.0774223007473526,0.0345990523643539,0.0149580531751929,0.00079384190621792,0.0622960438944827,0.0278387150285996,0.0120350539128169,0.000638695118467433
"10%,C",0.203554132211662,0.0496858847665322,0.0625735741697555,0.0775505501956361,0.0948125575590755,0.119060478280221,0.16046315074046,0.0779622920272385,0.0348566331655064,0.015078386463466,0.000800759028507511,0.0627591203705788,0.0280596067617641,0.0121382472738326,0.000644626985765858
"20%,C",0.203737533165495,0.0497002870700018,0.0625742816020464,0.0775407282212476,0.0947927852449874,0.119028566466103,0.160411367205441,0.0779355045551925,0.0348438552952565,0.0150724170622629,0.000800415889225687,0.0627361484289556,0.0280486489345774,0.0121331281369567,0.000644332722255768
"30%,C",0.20384888680176,0.049709031565755,0.0625747111263011,0.0775347647159298,0.0947807802961303,0.119009190904157,0.160379926338844,0.0779192402863523,0.0348360970896075,0.0150687926834557,0.000800207548941855,0.0627222007957598,0.0280419957854126,0.0121300200042357,0.000644154057362353
"40%,C",0.203931099553024,0.0497154876553666,0.0625750282454531,0.0775303618405878,0.0947719170034041,0.118994885863852,0.160356713444935,0.0779072323238509,0.0348303691811828,0.0150661167928125,0.000800053730633736,0.0627119032128777,0.0280370837437788,0.0121277252597544,0.000644022148491347
"50%,C",0.203999020112838,0.049720821392699,0.0625752902353513,0.0775267243785953,0.0947645945407144,0.118983067668611,0.160337535972767,0.0778973118732788,0.0348256370351254,0.0150639060896346,0.000799926652711681,0.0627033958027335,0.0280330256309864,0.0121258294427746,0.000643913171182774
"60%,C",0.204060829949496,0.0497256752607207,0.062575528654364,0.0775234141742593,0.0947579308703321,0.118972312740805,0.160320083872468,0.0778882839525562,0.0348213306340055,0.0150618942805049,0.000799811007822617,0.062695653793056,0.028029332621248,0.0121241041899473,0.000643813998418877
"70%,C",0.204121433881867,0.0497304344302191,0.0625757624218435,0.0775201685517085,0.0947513972075524,0.118961767640661,0.160302972261058,0.0778794321657451,0.0348171082503793,0.0150599217215882,0.000799697619154809,0.0626880628292825,0.0280257116617934,0.0121224125966456,0.000643716760506575
"80%,C",0.204071932786473,0.0497265471560089,0.0625755714813245,0.0775228195656809,0.0947567338821192,0.118970380844256,0.160316948969757,0.077886662276502,0.03482055707963,0.0150615329013135,0.000799790234650902,0.0626942631038717,0.0280286692497315,0.0121237942845678,0.000643796184117956
"90%,C",0.204045223043168,0.0497244496651255,0.0625754684538619,0.0775242499967074,0.0947596134387561,0.118975028346603,0.160324490505932,0.0778905634912295,0.0348224179948936,0.01506240225979,0.000799840208012239,0.0626976086408012,0.0280302651015808,0.012124539814125,0.000643839039417528
"100%,C",0.204053168185849,0.0497250735896669,0.0625754991006518,0.0775238244973505,0.0947587568791075,0.118973645889691,0.160322247182952,0.077889403026777,0.0348218644426892,0.0150621436583853,0.000799825342819356,0.0626966134695656,0.0280297903957592,0.0121243180471601,0.000643826291579938
"70%,U",0.204192207511679,0.0497359922164404,0.0625760354168853,0.0775163782945431,0.0947437671576067,0.118949453010492,0.160282989220287,0.0778690949968778,0.0348121773258669,0.0150576181556464,0.000799565203199503,0.0626791980569978,0.0280214830839772,0.0121204371440068,0.000643603205498844
"80%,U",0.204127938124284,0.0497309452022253,0.0625757875106504,0.0775198202192647,0.0947506959902397,0.118960635900772,0.160301135778433,0.0778784821586252,0.0348166550882558,0.0150597100191314,0.000799685449855657,0.0626872481384425,0.0280253230467786,0.0121222310484774,0.00064370632456737
"90%,U",0.204090771426492,0.0497280265365948,0.0625756441475892,0.0775218106688571,0.094754702903001,0.118967102915946,0.160311629851427,0.0778839107120615,0.0348192445581145,0.0150609197343803,0.000799754987956314,0.062691903464351,0.0280275436800032,0.0121232684553679,0.000643765957861103
"100%,U",0.204098532069859,0.0497286359725794,0.06257567408271,0.0775213950502969,0.09475386623408,0.118965752561963,0.160309438622106,0.0778827771955072,0.0348187038603051,0.0150606671381267,0.000799740467957723,0.0626909314026324,0.0280270799976336,0.0121230518381977,0.000643753506049322
