Nombre;Peso;Estatura;Edad;Victorias;Derrotas
Francis Ngannou;119;1.93;35;17;3
Jiří Procházka;93;1.91;29;29;3
Israel Adesanya;85;1.9;33;23;1
Leon Edwards;77;1.85;31;20;3
Charles Oliveira;72;1.78;32;33;8
Alexander Volkanovski;66;1.68;33;25;1
Aljamain Sterling;62;1.7;33;21;3
Deiveson Figueiredo;65;1.65;34;21;2
Amanda Nunes;63;1.72;34;22;5
Julianna Peña;61;1.7;33;11;5
Valentina Shevchenko;57;1.65;34;23;3
Carla Esparza;52;1.55;34;19;6
Brandon Moreno;57;1.7;28;20;6
Kamaru Usman;78;1.83;35;24;1
Glover Teixeira;103;1.88;42;33;8
Cyril Gane;112;1.93;32;10;1
Rose Namajunas;52;1.66;30;11;5
Petr Yan;62;1.7;29;16;3
Justin Gaethje;70;1.79;33;23;4
Dustin Poirer;71;1.75;33;28;7
Max Holloway;66;1.8;30;23;7
